time,accelx,accely,accelz,gyrox,gyroy,gyroz,magx,magy,magz,altitude
3687120000000,-0.588634,-0.416351,0.157926,-0.802982,-0.966541,0.226784,-13.0517,-21.5873,67.4364,572.301
3687200000000,-0.574277,-0.435493,0.153141,-0.873232,-0.941038,0.200211,-8.88629,-24.3204,68.0941,572.661
3687290000000,-0.569491,-0.363709,0.26321,-0.968069,-0.897361,0.149204,-5.7147,-27.4627,68.021,570.875
3687370000000,-0.540777,-0.392423,0.387637,-1.06382,-0.848033,0.106596,-3.01081,-30.9412,67.4656,569.999
3687450000000,-0.507278,-0.40678,0.492921,-1.17897,-0.780991,0.0603229,0.073078,-34.3028,66.0187,568.741
3687530000000,-0.48335,-0.478564,0.579063,-1.34619,-0.687834,0.0177151,2.63081,-37.4306,64.221,568.213
3687620000000,-0.473778,-0.66999,0.598205,-1.56809,-0.584903,-0.00442877,4.20929,-42.7799,61.6925,568.108
3687700000000,-0.464207,-0.708275,0.607777,-1.70935,-0.500299,0.00213803,5.94855,-47.0769,59.0909,565.53
3687780000000,-0.473778,-0.870987,0.617348,-1.80358,-0.419664,0.0302378,7.14703,-50.4969,54.487,564.389
3687860000000,-0.502492,-0.851844,0.531206,-1.91751,-0.351858,0.0803288,8.18474,-54.677,50.19,563.586
3687940000000,-0.488136,-0.736989,0.48335,-2.05602,-0.29856,0.127976,8.88629,-58.0386,43.7007,563.037
3688030000000,-0.526421,-0.698704,0.44985,-2.1391,-0.257632,0.169668,8.49166,-60.3917,36.8167,561.252
3688110000000,-0.526421,-0.646062,0.401994,-2.29074,-0.226173,0.20296,8.30167,-61.8532,29.6112,559.836
3688190000000,-0.550349,-0.488136,0.40678,-2.37581,-0.211818,0.220064,8.33089,-62.9786,20.9296,558.325
3688270000000,-0.59342,-0.445065,0.287138,-2.41506,-0.194866,0.210748,7.24934,-62.131,11.8971,556.276
3688360000000,-0.598205,-0.40678,0.421136,-2.46179,-0.175929,0.182343,7.42473,-60.2163,3.2739,554.85
3688440000000,-0.626919,-0.320638,0.48335,-2.45614,-0.148135,0.164475,6.4601,-56.3286,-4.32622,551.998
3688520000000,-0.626919,-0.272782,0.478564,-2.51203,-0.0913243,0.129503,5.53932,-52.1631,-10.0409,551.216
3688600000000,-0.66999,-0.282353,0.646062,-2.59373,-0.0302378,0.0972803,5.46624,-45.9369,-16.1795,548.797
3688690000000,-0.708275,-0.382851,0.684347,-2.70506,0.0383318,0.0916298,5.18854,-39.1552,-18.7811,546.336
